metric,PLS,NO_PLS
avg_chars_per_doc,2715.6391265860134,4196.4112605642185
avg_words_per_doc,422.803481853054,621.0127365789787
chars_count,6778.0,8401.0
chars_max,9829.0,26424.0
chars_mean,2715.6391265860134,4196.4112605642185
chars_min,209.0,874.0
chars_p10,1491.4,2483.0
chars_p25,1947.0,2877.0
chars_p50,2552.0,4009.0
chars_p75,3392.75,5298.0
chars_p90,4302.6,6339.0
chars_p95,4582.15,6647.0
chars_per_word_mean,6.418788094945321,6.789049592590784
chars_per_word_p25,6.188373948213487,6.607758620689655
chars_per_word_p50,6.4239068541765985,6.779960707269155
chars_per_word_p75,6.651438873626374,6.963488843813387
chars_per_word_std,0.3569288073722529,0.27498824401703087
chars_share_100_200,0.0,0.0
chars_share_50_100,0.0,0.0
chars_share_ge_200,1.0,1.0
chars_share_lt_50,0.0,0.0
chars_std,1099.9964197899824,1560.979151507108
chars_sum,18406602.0,35254051.0
n_docs,6778.0,8401.0
n_nonempty_docs,6778.0,8401.0
total_tokens,2908367.0,5455536.0
type_token_ratio,0.009441380678573233,0.007177663203028996
vocab_size,27459.0,39158.0
words_count,6778.0,8401.0
words_max,1641.0,4209.0
words_mean,422.803481853054,621.0127365789787
words_min,36.0,138.0
words_p10,244.0,361.0
words_p25,301.0,416.0
words_p50,394.0,590.0
words_p75,526.0,790.0
words_p90,679.0,960.0
words_p95,697.0,994.0
words_share_100_200,0.045883741516671586,0.00023806689679800025
words_share_50_100,0.014606078489229861,0.0
words_share_ge_200,0.939067571555031,0.999761933103202
words_share_lt_50,0.00044260843906757157,0.0
words_std,172.67286836231986,238.39497029419425
words_sum,2865762.0,5217128.0
